"Name","Location","Type","Namespace","Source","Reference Count","Offcut Ref Count"
"PATCHGTE_OBJ_DC","0000cdb0","Function","Global","User Defined","0","0"
"FUN_0000cde4","0000cde4","Function","Global","Default","0","0"
"_bu_init","0000ce04","Function","Global","User Defined","0","0"
"InitCARD","0000ce14","Function","Global","User Defined","0","0"
"INIT_OBJ_40","0000ce54","Instruction Label","Global","Imported","1","0"
"INIT_OBJ_7C","0000ce90","Instruction Label","Global","Imported","1","0"
"StartCARD","0000cea4","Function","Global","Imported","0","0"
"INIT_OBJ_C8","0000cedc","Instruction Label","Global","Imported","1","0"
"StopCARD","0000ceec","Function","Global","Imported","0","0"
"SetInitPadFlag","0000cf14","Function","Global","User Defined","0","0"
"ReadInitPadFlag","0000cf20","Function","Global","User Defined","0","0"
"PAD_init","0000cf30","Function","Global","Imported","0","0"
"InitPAD","0000cfc0","Function","Global","Imported","0","0"
"StartPAD","0000d050","Function","Global","Imported","0","0"
"PAD_OBJ_16C","0000d080","Function","Global","Imported","0","0"
"PAD_OBJ_1E4","0000d0f8","Function","Global","Imported","0","0"
"PAD_OBJ_220","0000d134","Instruction Label","Global","Imported","1","0"
"PAD_OBJ_240","0000d154","Instruction Label","Global","Imported","1","0"
"PAD_OBJ_24C","0000d160","Function","Global","User Defined","0","0"
"PAD_OBJ_284","0000d198","Instruction Label","Global","Imported","2","0"
"InitPAD2","0000d1a4","Function","Global","User Defined","0","0"
"StartPAD2","0000d1b4","Function","Global","User Defined","0","0"
"PAD_init2","0000d1c4","Function","Global","User Defined","0","0"
"SysEnqIntRP","0000d1d4","Function","Global","User Defined","0","0"
"SysDeqIntRP","0000d1e4","Function","Global","User Defined","0","0"
"EnablePAD","0000d1f4","Function","Global","User Defined","0","0"
"DisablePAD","0000d208","Function","Global","User Defined","0","0"
"_patch_pad","0000d21c","Function","Global","User Defined","0","0"
"PATCH_OBJ_68","0000d25c","Instruction Label","Global","Imported","1","0"
"_remove_ChgclrPAD","0000d294","Function","Global","User Defined","0","0"
"CHCLRPAD_OBJ_30","0000d2c4","Instruction Label","Global","Imported","1","0"
"InitCARD2","0000d304","Function","Global","User Defined","0","0"
"StartCARD2","0000d314","Function","Global","User Defined","0","0"
"StopCARD2","0000d324","Function","Global","User Defined","0","0"
"_patch_card_info","0000d334","Function","Global","User Defined","0","0"
"PATCH_OBJ_44","0000d378","Function","Global","User Defined","0","0"
"PATCH_OBJ_5C","0000d390","Instruction Label","Global","Imported","1","0"
